종목코드,종목명,지배비율,순차입금,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,부채비율,평균거래량_20d,최근거래일_거래량,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종,컨센_보강,컨센_보강일
015760,한국전력,0.9581,1306591.75,882194.61,933988.96,974293.46,976053.36,989070.07,1006913.46,-45416.48,83647.1,134905.57,77650.79,111501.07,133061.23,4.32,0.18,1.33,1.8,4.32,61.28,-42.44,43.59,19.34,61.28,4년치 존재,4,,,16.82,406.43,1806682.0,1159569.0,down,40.2,39150.0,30850.0,down,bear,-1627596.0,-2895783.0,-301548.0,261611.0,KOSPI,30900,198367,1159569,0.6,전기유틸리티,False,
006260,LS,0.6209,104616.6,244807.43,275446.63,318700.31,412539.7,440985.8,467020.22,8996.74,10729.43,10525.54,20096.9,22624.8,26110.67,15.7,29.44,6.9,5.9,29.44,-1.9,90.93,12.58,15.41,90.93,4년치 존재,4,,,8.43,269.71,107733.0,116161.0,down,55.5,399000.0,223500.0,mixed,bull,-45995.0,30807.0,47474.0,70072.0,KOSPI,326500,101868,116161,1.1,전기장비,False,
086280,현대글로비스,0.9987,-5446.09,256831.97,284073.74,295664.09,331591.41,345729.82,359207.5,15540.33,17528.67,20730.08,21591.94,23576.06,24881.25,4.08,12.15,4.26,3.9,12.15,18.26,4.16,9.19,5.54,18.26,4년치 존재,4,,,15.23,90.32,160756.0,153696.0,down,48.8,213500.0,181700.0,mixed,bear,7489.0,65154.0,-12840.0,37219.0,KOSPI,202500,151875,153696,1.0,항공화물운송과물류,False,
018260,삼성에스디에스,0.982,-57031.26,132768.44,138282.32,139298.68,144025.87,151503.67,159438.86,8082.31,9110.97,9571.03,8237.2,10685.67,11870.57,0.73,3.39,5.19,5.24,5.24,5.05,-13.94,29.72,11.09,29.72,4년치 존재,4,,,6.6,42.35,177803.0,110426.0,up,50.0,245000.0,185800.0,mixed,bear,61284.0,367533.0,21591.0,-57315.0,KOSPI,225000,174100,110426,0.6,IT서비스,False,
010950,S-Oil,1.0,75316.31,357266.94,366370.31,342469.57,423290.36,400661.43,380808.86,13545.82,4221.77,2356.31,44401.14,33113.43,28485.57,-6.52,23.6,-5.35,-4.95,23.6,-44.19,1784.35,-25.42,-13.98,1784.35,4년치 존재,4,,,16.33,199.86,451724.0,437500.0,down,54.7,165900.0,103700.0,mixed,bear,142924.0,376704.0,0.0,134846.0,KOSPI,153200,172477,437500,1.0,석유와가스,False,
010140,삼성중공업,1.0,-1987.7,80094.3,99030.78,106500.11,127840.5,147204.7,160306.11,2333.45,5026.99,8622.11,13686.45,19754.7,23538.16,7.54,20.04,15.15,8.9,20.04,71.52,58.74,44.34,19.15,71.52,4년치 존재,4,,,13.42,281.27,2916506.0,1641316.0,down,45.9,24450.0,19400.0,down,bear_cross,-2132769.0,-2059272.0,494902.0,2014833.0,KOSPI,20700,182160,1641316,0.6,조선,False,
000720,현대건설,0.7661,6231.61,296513.57,326702.68,310629.12,269351.95,285527.55,306832.89,7854.3,-12634.2,6530.06,8658.0,11338.9,13770.17,-4.92,-13.29,6.01,7.46,7.46,151.69,32.59,30.96,21.44,151.69,4년치 존재,4,,,5.19,155.21,793386.0,1023754.0,up,58.1,134900.0,81700.0,up,bear,-266336.0,-1578785.0,-6696.0,1623890.0,KOSPI,131800,146767,1023754,1.3,건설,False,
012450,한화에어로스페이스,0.6486,67515.16,78896.87,112401.21,267029.01,324104.0,346517.32,371269.32,5943.06,17318.79,30893.2,46453.95,57056.37,63529.53,137.57,21.37,6.92,7.14,137.57,78.38,50.37,22.82,11.35,78.38,4년치 존재,4,,,22.95,190.27,129884.0,90474.0,down,48.4,1185000.0,810000.0,up,bear,-69492.0,-85456.0,45721.0,9489.0,KOSPI,1062000,547603,90474,0.7,우주항공과국방,False,
278470,에이피알,0.9986,-1952.48,5238.09,7227.54,15273.45,30830.4,42668.9,52829.95,1041.94,1227.06,3655.21,7659.4,10805.7,13547.95,111.32,101.86,38.4,23.81,111.32,197.88,109.55,41.08,25.38,197.88,4년치 존재,4,,,81.84,70.07,256439.0,202998.0,down,42.4,464500.0,315000.0,mixed,bear,56401.0,39382.0,-117391.0,-528330.0,KOSPI,362000,135526,202998,0.8,화장품,False,
030200,KT,0.9332,95653.68,263762.73,264312.04,282441.61,273840.06,280104.39,286069.06,16497.74,8094.71,24691.33,21203.89,22642.44,23659.22,6.86,-3.05,2.29,2.13,6.86,205.03,-14.12,6.78,4.49,205.03,4년치 존재,4,,,7.26,118.71,271137.0,232268.0,down,49.2,58000.0,51600.0,mixed,bear,-10291.0,-76728.0,102399.0,134656.0,KOSPI,53200,134076,232268,0.9,다각화된통신서비스,False,
055550,신한지주,0.993,,613326.29,740642.79,646819.6,,,,61008.5,64586.7,70233.57,80829.75,84632.75,87826.2,-12.67,,,,-12.67,8.74,15.09,4.7,3.77,15.09,4년치 존재,4,,,9.17,,1102524.0,730685.0,down,54.9,115000.0,95800.0,up,bear,-393765.0,-2154930.0,488987.0,2952947.0,KOSPI,112800,529540,730685,0.7,은행,False,
011070,LG이노텍,1.0,9425.44,206052.9,212007.55,218966.03,254494.79,268324.68,282713.56,8308.24,7060.43,6650.07,12656.89,14594.11,17346.31,3.28,16.23,5.43,5.36,16.23,-5.81,90.33,15.31,18.86,90.33,4년치 존재,4,,,11.39,87.15,242445.0,224457.0,up,45.6,981000.0,424000.0,down,bull_cross,42685.0,73957.0,2637.0,-352288.0,KOSPI,540000,127802,224457,0.9,전자장비와기기,False,
047810,한국항공우주,0.9899,27887.67,38193.44,36337.42,36963.79,53662.44,67322.56,75686.13,2475.1,2407.18,2691.9,3447.06,5815.19,7331.0,1.72,45.18,25.46,12.42,45.18,11.83,28.05,68.7,26.07,68.7,4년치 존재,4,,,9.73,484.2,314042.0,127573.0,down,47.4,164100.0,117500.0,down,bull,-35310.0,-76116.0,63964.0,-73883.0,KOSPI,130100,126815,127573,0.4,우주항공과국방,False,
329180,HD현대중공업,1.0,-49151.16,119639.26,144864.54,175806.33,247518.33,266501.44,285912.71,1786.4,7052.23,20375.1,40537.22,47419.0,55084.0,21.36,40.79,7.67,7.28,40.79,188.92,98.95,16.98,16.16,188.92,4년치 존재,4,,,30.09,178.6,275963.0,153572.0,down,47.0,615000.0,422000.0,mixed,bull,24340.0,-248342.0,-37391.0,88635.0,KOSPI,454000,476524,153572,0.6,조선,False,
006400,삼성SDI,0.8604,106775.0,214367.88,165922.49,132667.31,159085.95,195994.89,240827.65,15454.89,3633.04,-17223.61,3986.42,14513.58,25000.53,-20.04,19.91,23.2,22.87,23.2,-574.08,123.15,264.08,72.26,264.08,4년치 존재,4,,,0.17,77.45,417158.0,209039.0,down,50.8,577000.0,358500.0,mixed,bear,-210479.0,-397171.0,-26037.0,287463.0,KOSPI,531000,427909,209039,0.5,전기제품,False,
003490,대한항공,1.0,192096.56,161117.96,178707.18,252255.42,283937.0,281059.18,288340.27,17900.89,21102.0,11135.89,10709.91,22599.45,25842.36,41.16,12.56,-1.01,2.59,41.16,-47.23,-3.83,111.01,14.35,111.01,4년치 존재,4,,,-2.39,390.69,3018367.0,7326416.0,down,69.8,31650.0,24650.0,up,bull_cross,2051421.0,13785163.0,1633362.0,3764527.0,KOSPI,31650,116542,7326416,2.4,항공사,False,
010120,LS ELECTRIC,1.0,8044.96,42304.83,45518.37,49657.99,65415.13,80098.75,94441.47,3248.78,3897.17,4264.07,7199.81,10368.5,13510.6,9.09,31.73,22.45,17.91,31.73,9.41,68.85,44.01,30.3,68.85,4년치 존재,4,,,19.3,172.12,470010.0,444006.0,up,55.0,263500.0,150300.0,up,bull,385891.0,921435.0,59301.0,-46208.0,KOSPI,211000,316500,444006,0.9,전기장비,False,
000880,한화,0.278,46978.59,531348.13,556468.29,747854.4,892727.0,937852.0,992221.0,24119.2,24161.09,41468.83,61013.33,70152.67,75953.0,34.39,19.37,5.05,5.8,34.39,71.63,47.13,14.98,8.27,71.63,4년치 존재,4,,,6.69,458.35,187272.0,68258.0,down,50.2,156302.0,100600.0,up,bear,12780.0,476546.0,-90.0,-41889.0,KOSPI,131600,70181,68258,0.4,복합기업,False,
064400,LG씨엔에스,0.9971,-10425.1,56053.0,59826.27,61295.43,65697.5,71548.25,77959.27,4640.48,5128.64,5518.28,5820.75,6680.42,7375.27,2.46,7.18,8.91,8.96,8.96,7.6,5.48,14.77,10.4,14.77,4년치 존재,4,,,16.74,61.87,509738.0,726934.0,up,48.1,79900.0,58200.0,mixed,bear,129140.0,350883.0,-146587.0,-332577.0,KOSPI,71400,69177,726934,1.4,IT서비스,False,
047040,대우건설,0.9879,31023.76,116478.01,105036.09,80546.27,80801.3,90203.3,102077.17,6625.18,4031.26,-8154.31,8288.4,8123.3,9084.17,-23.32,0.32,11.64,13.16,13.16,-302.28,201.64,-1.99,11.83,201.64,4년치 존재,4,,,-14.26,266.54,9189758.0,9155369.0,up,53.6,20000.0,11200.0,up,bear,-1844051.0,-6506022.0,-692128.0,-141323.0,KOSPI,18910,77703,9155369,1.0,건설,False,
028050,삼성E&A,0.9725,-36619.52,106249.18,99665.51,90287.69,107231.5,129034.95,141341.5,9931.29,9716.12,7920.79,9821.64,11913.23,13226.55,-9.41,18.77,20.33,9.54,20.33,-18.48,24.0,21.3,11.02,24.0,4년치 존재,4,,,14.11,122.37,1753922.0,1598565.0,up,57.3,52200.0,39200.0,up,bull,-757013.0,-625463.0,1116060.0,2753694.0,KOSPI,51300,100548,1598565,0.9,건설,False,
000150,두산,0.504,54570.67,191301.3,181328.74,197841.38,218529.69,252451.83,285187.0,14362.62,10037.59,10627.15,17946.85,25094.92,31331.0,9.11,10.46,15.52,12.97,15.52,5.87,68.88,39.83,24.85,68.88,4년치 존재,4,,,17.75,161.3,82931.0,88725.0,up,64.4,1590000.0,900000.0,up,bull,-170869.0,-299649.0,93351.0,224774.0,KOSPI,1474000,238697,88725,1.1,복합기업,False,
