종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
139480,289703.88,291004.42,302814.92,308541.7,3225.41,4147.0,5634.58,6040.5,0.8255,114500.08,20228,73300,,백화점과일반상점,KOSPI
030000,45468.95,45280.09,47641.73,49538.78,3368.9,3217.73,3482.91,3624.11,0.9941,-5074.79,20132,17500,,광고,KOSPI
073240,47012.82,51016.0,53579.7,56200.25,5758.59,6244.9,6612.5,7463.75,0.9331,12484.08,19620,6830,,자동차부품,KOSPI
001720,24663.81,31713.66,,,1361.46,1958.39,,,0.9554,,23164,140900,,증권,KOSPI
007070,119574.22,125066.6,129164.87,133330.93,2921.2,3619.93,3908.4,4117.36,1.0,19593.92,19481,23300,,백화점과일반상점,KOSPI
000155,197841.38,218529.69,252451.83,285187.0,10627.15,17946.85,25094.92,31331.0,0.504,54570.67,19263,482000,,복합기업,KOSPI
006040,95836.74,102554.0,106629.67,110630.0,5161.34,5742.0,6005.33,6140.0,0.9467,21050.03,15670,35500,,식품,KOSPI
021240,49635.66,56966.5,64071.25,71289.5,8786.52,10133.0,11836.0,12775.5,1.0,25247.31,71546,101100,,가정용기기와용품,KOSPI
462870,2945.46,2149.0,2171.0,3763.8,1814.18,1080.3,1037.8,2317.5,1.0,-5410.08,18210,31000,,게임엔터테인먼트,KOSPI
103140,50485.8,61851.27,65170.0,67730.5,2974.27,4287.8,3950.47,4212.5,1.0,10110.41,21999,78500,,비철금속,KOSPI
192820,23987.58,29703.0,34636.26,39260.17,1957.92,2570.0,3157.95,3707.33,0.9578,7500.21,31154,274500,,화장품,KOSPI
009970,48950.1,,,,7354.75,,,,0.6063,-15021.19,21646,167100,,"섬유,의류,신발,호화품",KOSPI
071970,4023.96,6063.8,7656.6,8911.0,759.12,1550.0,2117.0,2604.0,1.0,-4232.94,17436,51400,,조선,KOSPI
450080,3925.06,,,,-653.69,,,,,6767.06,24572,34700,,전기제품,KOSPI
023590,174950.04,,,,15592.84,,,,0.437,-482973.99,17077,39450,,증권,KOSPI
